Work Package,Task,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Total Time
WP1,Task 1,9,12,12,15,15,21,231.61
WP1,Task 2,5,7,9,9,11,13,144.54
WP1,Task 3,3,4,4,5,5,7,77.17
WP1,Task 4,5,5,7,5,7,11,102.85
WP2,Task 1,7,10,8,13,11,16,185.56
WP2,Task 2,5,6,8,7,9,12,124.95
WP2,Task 3,4,6,4,8,6,9,106.75
WP2,Task 4,5,6,8,7,9,12,127.37
WP3,Task 1,4,8,6,12,10,11,148.49
WP3,Task 2,7,10,8,13,11,16,185.34
WP3,Task 3,5,6,8,7,9,12,125.13
WP3,Task 4,9,12,12,15,15,21,233.34
WP4,Task 1,5,7,9,9,11,13,148.13
WP4,Task 2,4,6,4,8,6,9,109.1
WP4,Task 3,4,7,5,10,8,10,125.67
WP4,Task 4,5,10,6,15,11,13,177.39
